Technique,Model,Use_Case,Pre_Compression_Accuracy (%),Post_Compression_Accuracy (%),Model_Size_MB_Before,Model_Size_MB_After,Inference_Time_Before (ms),Inference_Time_After (ms),Energy_Consumption_After (mWh),Device_Type,Network_Availability,Location
Quantization,MobileNetV2,Education,93.9,92.5,49.3,33.1,381.4,250.8,12.6,Low-End,Good,West Bengal
Knowledge Distillation,ResNet18,Education,88.8,86.1,38.7,17,419.3,210.3,28.8,Low-End,Poor,Jharkhand
Weight Sharing,ResNet50,Education,84.3,81.5,86.4,50.8,270.3,149.7,29.4,Mid-Range,Poor,Tamil Nadu
Pruning,MobileNet,Agriculture,93.3,92.7,63.8,26.4,481,329.4,28.1,Low-End,Moderate,Uttar Pradesh
Quantization,ResNet50,Agriculture,84.4,82,78.1,28.2,363.9,246.5,16.4,Low-End,Poor,West Bengal
Knowledge Distillation,SqueezeNet,Agriculture,85.6,85.1,40.3,20.3,573.8,383.9,15.2,Low-End,Poor,Andhra Pradesh
Weight Sharing,MobileNetV2,Healthcare,87.6,86.1,5.9,2.5,382.5,253.2,13.9,Mid-Range,Poor,Andhra Pradesh
Pruning,EfficientNet,Agriculture,92.8,92.3,49.6,27.9,249.5,193.7,21.1,Low-End,Poor,Andhra Pradesh
Quantization,EfficientNet,Healthcare,89.2,87.4,23.8,13.5,282.8,165.5,37.7,Mid-Range,Good,Jharkhand
Knowledge Distillation,SqueezeNet,Education,88.4,87.5,26,14.4,523.6,417.2,12.3,Low-End,Moderate,Madhya Pradesh
Weight Sharing,MobileNetV2,Education,87.9,87.3,32.2,13.3,296.1,214.5,29.7,Mid-Range,Poor,Assam
Pruning,MobileNetV2,Healthcare,93.7,92.6,19.2,7.5,362,263.8,11.5,Low-End,Poor,Rajasthan
Quantization,EfficientNet,Agriculture,90.3,89.4,16.4,10.1,179,97.7,22.4,Mid-Range,Good,Andhra Pradesh
Knowledge Distillation,ResNet50,Agriculture,83.6,80.8,6,2.3,467.7,365.9,13.6,Mid-Range,Good,Tamil Nadu
Weight Sharing,EfficientNet,Education,86.4,83.6,10.4,5.6,556.8,431.7,16.9,Mid-Range,Good,Uttar Pradesh
Pruning,ResNet50,Agriculture,91,88.6,93.7,55,293.8,233.7,38.4,Mid-Range,Poor,Assam
Weight Sharing,MobileNetV2,Education,91.5,88.9,16.5,8.5,349.2,246.3,26.6,Mid-Range,Poor,Andhra Pradesh
Pruning,MobileNetV2,Agriculture,87,86.4,72.1,50.3,331.3,171.8,20.6,Mid-Range,Poor,Jharkhand
Quantization,SqueezeNet,Healthcare,88.9,87.2,49.2,18.7,570,387.1,34.5,Low-End,Poor,Rajasthan
Knowledge Distillation,MobileNet,Healthcare,90.5,89.7,44,15.3,299,218.4,11.2,Low-End,Poor,Bihar
Weight Sharing,MobileNet,Education,86.4,85.2,59.6,29.9,402.2,254.8,10.2,Low-End,Poor,Assam
Pruning,MobileNetV2,Healthcare,88.3,85.5,68.2,43,294.9,162.4,29.9,Low-End,Moderate,Jharkhand
Quantization,EfficientNet,Healthcare,91.2,89.4,18.1,8.8,381,303.7,36.5,Low-End,Good,Jharkhand
Knowledge Distillation,ResNet50,Healthcare,84.4,82.1,9.6,3,323.1,211.3,10.4,Mid-Range,Good,Andhra Pradesh
Weight Sharing,MobileNet,Education,86.2,85.3,30.3,12,359.6,222.8,16.4,Mid-Range,Moderate,Rajasthan
Pruning,MobileNet,Healthcare,91.4,89.7,84,25.7,423.5,329.8,38.1,Mid-Range,Good,Tamil Nadu
Quantization,MobileNet,Education,84.2,83.7,90.2,53.8,299.9,181.9,27.5,Low-End,Good,West Bengal
Knowledge Distillation,MobileNet,Healthcare,89.3,88.5,39.4,27.4,189.3,128.3,28.5,Low-End,Moderate,Chhattisgarh
Weight Sharing,ResNet18,Agriculture,92.1,91.5,46,18.1,541.3,276.5,18.9,Mid-Range,Moderate,Assam
Pruning,ResNet50,Healthcare,91.4,88.5,23.1,9.3,306.8,207,13.5,Mid-Range,Moderate,Assam
Quantization,ResNet18,Agriculture,91,88,79.4,24,592.6,467.3,24.4,Mid-Range,Moderate,Madhya Pradesh
Knowledge Distillation,SqueezeNet,Healthcare,86.7,86.2,39.1,27.3,426.3,328.4,12.6,Low-End,Poor,Rajasthan
Weight Sharing,MobileNet,Education,85.6,82.6,67.2,34.1,306.5,218.4,27,Mid-Range,Moderate,Chhattisgarh
Pruning,MobileNet,Healthcare,89.2,87.3,33,19.9,493.8,354.2,16.7,Mid-Range,Good,Madhya Pradesh
Quantization,SqueezeNet,Agriculture,90.4,87.5,60.7,33.3,483.6,265.2,18.8,Mid-Range,Poor,Manipur
Knowledge Distillation,SqueezeNet,Agriculture,89.7,87.4,72.7,30.1,506.7,333.6,18,Low-End,Moderate,Jharkhand
Weight Sharing,SqueezeNet,Healthcare,93.1,90.9,86.1,36.6,251.9,185.1,21.4,Mid-Range,Good,West Bengal
Pruning,ResNet18,Agriculture,87.2,86.3,67.4,41.4,559,296.5,20.6,Low-End,Poor,Manipur
Quantization,MobileNet,Education,91.3,89.3,11.2,7.2,493.7,321.7,24.3,Low-End,Moderate,Tamil Nadu
Knowledge Distillation,ResNet18,Healthcare,91.9,89.5,50.1,19.1,152.8,97.5,30.8,Mid-Range,Good,Odisha
Weight Sharing,SqueezeNet,Agriculture,83,81,85.5,43.1,278.3,208.8,25.8,Mid-Range,Moderate,Andhra Pradesh
Pruning,ResNet18,Healthcare,85.1,82.1,66,31.5,351.7,251.1,37.4,Low-End,Poor,Manipur
Quantization,SqueezeNet,Healthcare,85.8,84.7,58.8,28.5,300.3,186.5,19.1,Mid-Range,Moderate,Uttar Pradesh
Knowledge Distillation,SqueezeNet,Agriculture,83.1,82.3,54.5,35.9,190.5,107.4,31.2,Mid-Range,Moderate,Jharkhand
Weight Sharing,ResNet18,Agriculture,83.2,81,11.6,5.2,564.4,288.3,10.9,Mid-Range,Good,Jharkhand
Pruning,MobileNet,Education,87.1,86.6,22.1,15.4,524.8,380.8,39.3,Mid-Range,Moderate,Assam
Quantization,EfficientNet,Agriculture,84.9,84,50.3,24.2,478.4,363.3,33.2,Mid-Range,Good,Bihar
Knowledge Distillation,SqueezeNet,Healthcare,92.3,91.1,6.4,3.3,397.4,270.2,33.8,Mid-Range,Moderate,Bihar
Weight Sharing,MobileNetV2,Healthcare,92.8,89.9,20,11.1,506.6,379.7,16.4,Low-End,Good,Rajasthan
Pruning,SqueezeNet,Agriculture,87.3,86.2,93.1,53.6,351.8,279.5,23.6,Mid-Range,Moderate,Odisha
Quantization,MobileNetV2,Education,89.8,89.2,13.7,8.8,442.2,310.6,36.6,Low-End,Moderate,Odisha
Knowledge Distillation,MobileNet,Agriculture,89.4,87.7,4,1.3,495.8,335,15.6,Mid-Range,Good,Madhya Pradesh
Weight Sharing,ResNet50,Agriculture,93.3,92.3,51.6,23.3,182.3,131.3,36.5,Mid-Range,Poor,Bihar
Pruning,SqueezeNet,Education,92.1,89.3,92.5,63.4,419,257.6,22,Low-End,Good,Assam
Quantization,SqueezeNet,Agriculture,86.7,84.9,64.2,28.9,387.8,284.7,15.5,Mid-Range,Moderate,Uttar Pradesh
Knowledge Distillation,MobileNetV2,Healthcare,93.9,92.9,67.5,32.7,460.8,367,25.5,Mid-Range,Poor,Rajasthan
Weight Sharing,MobileNetV2,Education,89.7,87,44.7,27.7,241,132.4,12.7,Low-End,Poor,Chhattisgarh
Pruning,EfficientNet,Healthcare,87.1,85.3,74.5,43.1,418.1,255.5,36.6,Mid-Range,Poor,Tamil Nadu
Quantization,EfficientNet,Education,88.7,86.4,96.2,29.4,195.2,130.7,24.7,Low-End,Good,Tamil Nadu
Knowledge Distillation,ResNet50,Agriculture,85.9,83.3,92.9,64.8,395.3,203.8,33.5,Mid-Range,Good,West Bengal
Weight Sharing,ResNet50,Healthcare,89.2,87.5,95.2,38.9,573.6,319.4,22.3,Low-End,Moderate,Andhra Pradesh
Pruning,MobileNetV2,Education,88.3,87.2,53.4,23.3,443.9,227.3,15.2,Low-End,Poor,West Bengal
Quantization,EfficientNet,Agriculture,88.4,87.2,56,36,328.2,250.3,38.2,Low-End,Poor,Jharkhand
Knowledge Distillation,SqueezeNet,Education,92.2,89.5,87,38.3,562.1,386.6,16.4,Low-End,Good,Manipur
Weight Sharing,SqueezeNet,Agriculture,86.7,85.3,33.6,15.7,502.3,290.4,23.7,Low-End,Poor,Manipur
Pruning,EfficientNet,Healthcare,85.7,84,56.7,29.1,328.6,242.6,26.3,Mid-Range,Good,Andhra Pradesh
Quantization,ResNet50,Agriculture,90.9,89.3,12.2,6.2,224.5,160.6,23.9,Low-End,Moderate,Rajasthan
Knowledge Distillation,EfficientNet,Healthcare,85,82.9,85.3,31.8,192,131.3,32.8,Low-End,Poor,West Bengal
Weight Sharing,SqueezeNet,Education,83.1,82,66.4,35.1,565.1,338.6,28,Low-End,Moderate,Chhattisgarh
Pruning,ResNet18,Agriculture,87.5,85.7,48.5,29.5,157,81.4,30.2,Low-End,Good,Chhattisgarh
Quantization,EfficientNet,Education,86.4,83.7,52.7,25.8,253.7,144.3,23.1,Low-End,Good,West Bengal
Knowledge Distillation,SqueezeNet,Agriculture,83.9,81.7,24.1,9.2,408.2,288.8,28.2,Low-End,Good,Bihar
Weight Sharing,MobileNetV2,Healthcare,83.3,81,92.6,36.9,373.3,277.2,32.2,Mid-Range,Good,Andhra Pradesh
Pruning,ResNet18,Agriculture,90.7,87.8,11.1,5.1,343.8,233.4,22.3,Low-End,Good,Assam
Quantization,MobileNet,Agriculture,91,89,15.1,6.9,531.8,425.1,17.3,Low-End,Poor,Manipur
Knowledge Distillation,MobileNet,Education,92.7,91.2,92.2,51.7,167.5,104.4,20.2,Mid-Range,Moderate,Chhattisgarh
Weight Sharing,ResNet18,Education,86.8,85.4,18.8,9.9,242.8,160.1,16.6,Mid-Range,Moderate,Madhya Pradesh
Pruning,ResNet18,Healthcare,86.1,84.6,23.7,9.8,580,368.5,27.2,Low-End,Moderate,Odisha
Quantization,SqueezeNet,Education,83.5,80.7,14.4,7.9,466.2,274.5,13,Mid-Range,Good,Tamil Nadu
Knowledge Distillation,ResNet18,Healthcare,89.1,88.4,94.2,41.1,197.1,125.1,23,Low-End,Good,Odisha
Weight Sharing,SqueezeNet,Healthcare,91.4,89,70.8,38.8,165.6,126.2,19.8,Mid-Range,Moderate,Jharkhand
Pruning,EfficientNet,Agriculture,84.9,83.3,35.7,10.7,214.4,111.5,33.4,Low-End,Good,Andhra Pradesh
Quantization,SqueezeNet,Healthcare,93.4,92,42.1,21.8,172.7,104.4,34,Low-End,Good,West Bengal
Knowledge Distillation,MobileNetV2,Agriculture,91.4,88.7,8.2,4.5,468.7,271.9,12.6,Mid-Range,Moderate,Jharkhand
Weight Sharing,ResNet50,Agriculture,89.2,87.4,82.8,52.9,202.3,130.6,19,Mid-Range,Good,Odisha
Pruning,ResNet18,Agriculture,89.2,87.8,33.7,23,162,86.7,32.5,Mid-Range,Good,West Bengal
Quantization,ResNet18,Healthcare,93.9,93.4,78.3,26.9,522.7,332,37.8,Mid-Range,Moderate,Chhattisgarh
Knowledge Distillation,MobileNetV2,Agriculture,86.4,85.8,8.4,2.9,510,381.5,30.3,Mid-Range,Moderate,Chhattisgarh
Weight Sharing,MobileNet,Education,90.5,89.8,53.7,22.5,243.9,187.6,23,Mid-Range,Good,Andhra Pradesh
Pruning,MobileNetV2,Healthcare,87.4,86.1,37.1,18.2,520.4,330.6,31.9,Mid-Range,Good,Jharkhand
Quantization,ResNet50,Healthcare,83.4,82.8,10.1,5.2,347.4,261.7,33.7,Mid-Range,Moderate,Uttar Pradesh
Knowledge Distillation,SqueezeNet,Education,92.5,91.7,53.3,26.4,495.2,345,14.2,Low-End,Poor,Manipur
Weight Sharing,ResNet50,Education,84.6,82.1,77.6,45.7,491.2,363.8,28.3,Low-End,Moderate,Assam
Pruning,MobileNet,Agriculture,83.7,81.5,99.2,31.1,464.2,235.4,14.7,Mid-Range,Moderate,Jharkhand
Quantization,ResNet18,Healthcare,84.6,84,23,9.8,510.2,397.6,33.1,Mid-Range,Poor,Andhra Pradesh
Knowledge Distillation,EfficientNet,Agriculture,87.9,86.2,94.2,64.8,222.2,114.4,24.8,Mid-Range,Good,West Bengal
Weight Sharing,MobileNetV2,Healthcare,86.1,84,80.9,42.2,553.5,295.1,33.5,Mid-Range,Poor,Chhattisgarh
Pruning,SqueezeNet,Agriculture,92.3,91.5,47.4,16.9,395.1,250.1,35.2,Mid-Range,Poor,Bihar
Quantization,ResNet18,Education,92.9,91.6,34.2,14.7,538.8,373.7,30.1,Low-End,Good,Andhra Pradesh
Knowledge Distillation,ResNet18,Agriculture,83.3,81.1,71.2,41.1,484.3,307.7,14.4,Mid-Range,Poor,Uttar Pradesh
Weight Sharing,ResNet18,Healthcare,91.6,89.5,64.8,35.1,167.4,118.5,30,Mid-Range,Poor,West Bengal
Pruning,ResNet50,Healthcare,92.4,89.7,20.5,7.2,480.6,329.9,20.5,Low-End,Moderate,Manipur
Quantization,EfficientNet,Healthcare,92.8,90.5,56.2,17.4,533.3,277.4,21.9,Mid-Range,Moderate,Uttar Pradesh
Knowledge Distillation,MobileNetV2,Healthcare,89.1,88.2,92.9,58.4,172.6,112.6,18.6,Low-End,Moderate,Jharkhand
Weight Sharing,SqueezeNet,Education,89,86.4,11.8,4.3,411.6,243.5,15.4,Mid-Range,Good,Jharkhand
Pruning,MobileNet,Healthcare,89,86.2,54,21.9,275.4,213.5,16.6,Low-End,Moderate,Andhra Pradesh
Quantization,MobileNet,Education,91.4,90.1,89.6,50.6,430.1,329.1,27.9,Mid-Range,Good,Tamil Nadu
Knowledge Distillation,EfficientNet,Healthcare,91.8,89.7,66.8,26,437.8,288.1,36.6,Mid-Range,Good,Assam
Weight Sharing,MobileNetV2,Healthcare,90.1,88.3,50.1,29.4,581.9,448.9,30.8,Mid-Range,Poor,Jharkhand
Pruning,SqueezeNet,Education,93.6,91.1,41.8,28.5,428,319.8,12.6,Mid-Range,Good,Chhattisgarh
Quantization,ResNet18,Healthcare,88.7,86.5,52,29.5,354.1,191.7,35.7,Mid-Range,Poor,Odisha
Knowledge Distillation,MobileNet,Healthcare,84.1,82.6,48,31.3,418.7,271.8,30.2,Low-End,Poor,Tamil Nadu
Weight Sharing,MobileNet,Healthcare,92.3,89.9,28.5,17.3,204.7,110.4,35.1,Low-End,Moderate,Rajasthan
Pruning,ResNet50,Education,83.3,81.4,46.4,15.2,419.5,259.3,31.1,Low-End,Good,Manipur
Quantization,ResNet50,Agriculture,85.9,85.2,59.9,40.1,414.2,316.4,13.4,Low-End,Moderate,Uttar Pradesh
Knowledge Distillation,SqueezeNet,Education,83.1,82,31.1,18.5,582.1,386.7,16.9,Low-End,Poor,Assam
Weight Sharing,MobileNet,Agriculture,88.9,86.9,82.9,31.7,368.7,250.6,30,Mid-Range,Good,Bihar
Pruning,EfficientNet,Healthcare,86.8,84.1,9.4,3,422.7,334.7,20.6,Low-End,Poor,Jharkhand
Quantization,SqueezeNet,Healthcare,86.5,85.7,46.5,28.9,286.6,226.3,27.6,Mid-Range,Poor,Madhya Pradesh
Knowledge Distillation,ResNet50,Education,93.4,92.2,95.2,52.6,474.9,241.8,28.8,Low-End,Good,Chhattisgarh
Weight Sharing,ResNet50,Healthcare,93,91.2,84.5,56.9,206.6,110.6,33.1,Low-End,Good,Tamil Nadu
Pruning,SqueezeNet,Agriculture,93.5,92.8,36.8,25.4,556.2,332.5,10.5,Mid-Range,Poor,Odisha
Quantization,MobileNetV2,Agriculture,88.7,85.8,30.3,10.9,467.4,361.1,33.9,Low-End,Moderate,West Bengal
Knowledge Distillation,MobileNetV2,Education,83.3,82.1,62.9,28.6,216.5,170.5,35.3,Low-End,Moderate,Assam
Weight Sharing,ResNet50,Education,90.1,89.1,81.8,42,153.1,119,17.6,Mid-Range,Good,Manipur
Pruning,MobileNet,Agriculture,93.6,91.7,96.8,58.6,187,126.7,30.1,Mid-Range,Moderate,Rajasthan
Quantization,MobileNetV2,Education,85.5,84.1,33,11.4,153.6,113,21.1,Low-End,Moderate,Rajasthan
Knowledge Distillation,MobileNetV2,Healthcare,91.6,88.9,56.6,27.3,221.1,146.4,22.5,Low-End,Good,Chhattisgarh
Weight Sharing,MobileNet,Healthcare,89.6,88.6,76.6,25.3,206.2,104.2,35.6,Mid-Range,Good,Assam
Pruning,ResNet50,Education,92.6,90.7,13.4,6.8,506.6,314.9,13.5,Low-End,Poor,Andhra Pradesh
Quantization,SqueezeNet,Agriculture,90.1,87.9,50.4,18.9,598.8,302.7,34.1,Low-End,Poor,Odisha
Knowledge Distillation,SqueezeNet,Education,92.4,91.2,21,12.5,304.9,210.7,21.6,Low-End,Poor,Assam
Weight Sharing,SqueezeNet,Healthcare,83.3,82.5,72.5,31.5,446,274.1,30.5,Mid-Range,Poor,Chhattisgarh
Pruning,ResNet18,Healthcare,92.9,92.2,48.9,27.3,488,368.1,25.1,Mid-Range,Poor,Odisha
Quantization,ResNet50,Agriculture,92.3,89.6,8.8,3.3,174.2,104.4,19.6,Mid-Range,Poor,Andhra Pradesh
Knowledge Distillation,MobileNetV2,Agriculture,85,83.1,56,38.3,437.6,330.9,29.7,Mid-Range,Poor,Tamil Nadu
Weight Sharing,ResNet18,Agriculture,90.4,89.1,99.8,49.6,497.7,340.6,33.9,Mid-Range,Moderate,Bihar
Pruning,EfficientNet,Healthcare,84.1,82.7,52,28.7,258.3,131.4,15.3,Low-End,Moderate,Andhra Pradesh
Quantization,ResNet18,Agriculture,89.5,87,69,30.6,461.1,323.2,24.9,Low-End,Good,Andhra Pradesh
Knowledge Distillation,SqueezeNet,Healthcare,83.6,80.8,53.6,17.5,448.5,355.8,38.3,Mid-Range,Poor,West Bengal
Weight Sharing,EfficientNet,Healthcare,86.2,84.1,11.3,6.2,168.7,124.5,26.9,Mid-Range,Good,Rajasthan
Pruning,ResNet50,Education,92.2,91.3,97.6,64.2,152.6,85.1,29.6,Mid-Range,Poor,Madhya Pradesh
Quantization,ResNet50,Healthcare,93.8,90.8,27.5,18.8,306.3,234.6,35.8,Mid-Range,Poor,Rajasthan
Knowledge Distillation,ResNet18,Agriculture,89.9,87,62.5,19.5,240.1,132.8,19.3,Low-End,Poor,Madhya Pradesh
Weight Sharing,ResNet50,Agriculture,89.5,87.1,40.7,28.3,219.3,141,18.3,Low-End,Poor,Bihar
Pruning,MobileNet,Agriculture,90.8,90.1,96.9,57.2,175.1,93,27.8,Low-End,Poor,Madhya Pradesh
Quantization,SqueezeNet,Healthcare,86.2,83.2,58.3,37.5,329.4,260.9,35.1,Mid-Range,Good,Rajasthan
Knowledge Distillation,MobileNet,Agriculture,90.6,89.5,56.2,22.8,355,211.9,28.9,Mid-Range,Moderate,Tamil Nadu
Weight Sharing,ResNet50,Agriculture,84.5,82,42,18.3,384.5,252.7,17.7,Low-End,Good,Andhra Pradesh
Pruning,MobileNet,Agriculture,88,86.7,64.5,29.2,152.2,108.6,38.4,Low-End,Moderate,Uttar Pradesh
Quantization,MobileNetV2,Education,92.5,91,8.2,4.7,269.9,138.2,11.8,Low-End,Moderate,Uttar Pradesh
Knowledge Distillation,MobileNet,Education,93.6,91.7,84.5,28.3,278.5,198,35.8,Low-End,Poor,Manipur
Weight Sharing,ResNet18,Education,89.8,88.7,68.4,36.1,226.8,172,37.6,Low-End,Moderate,Rajasthan
Pruning,ResNet50,Healthcare,87.3,84.8,30.4,20.5,451.7,242.8,14.9,Low-End,Moderate,Bihar
Quantization,MobileNet,Healthcare,83.7,81.5,23.7,8.7,533,350.2,21.5,Mid-Range,Good,Assam
Knowledge Distillation,EfficientNet,Education,86.4,84.1,91.6,49.7,253.5,159.5,23.3,Low-End,Moderate,Jharkhand
Weight Sharing,ResNet18,Agriculture,89.6,87,40.8,26.9,264.9,191.3,39.7,Low-End,Good,Andhra Pradesh
Pruning,ResNet18,Agriculture,91.5,90.7,51.7,30.1,183.6,102.1,16.1,Mid-Range,Moderate,Tamil Nadu
Quantization,EfficientNet,Agriculture,84.3,83.5,26.9,14.1,187.6,100.4,31.3,Mid-Range,Good,Odisha
Knowledge Distillation,SqueezeNet,Education,92.8,89.8,80.1,28.6,499.2,387.9,24.6,Mid-Range,Good,Manipur
Weight Sharing,ResNet50,Agriculture,86.6,84.1,14.7,8,291,182.2,24.3,Low-End,Good,Chhattisgarh
Pruning,EfficientNet,Education,88.8,86,77.7,30.9,556.2,444.6,26.3,Mid-Range,Poor,West Bengal
Quantization,MobileNetV2,Healthcare,91.1,89.7,55.5,24.6,528.3,342.7,23.4,Low-End,Moderate,Tamil Nadu
Knowledge Distillation,EfficientNet,Healthcare,88.7,86.7,9.8,6.7,323,162.9,14.7,Mid-Range,Poor,Bihar
Weight Sharing,ResNet50,Healthcare,87.2,86.6,89.4,45.2,490.8,388.2,22.5,Low-End,Poor,Odisha
Pruning,ResNet50,Healthcare,84.8,83.2,12.4,6.6,306.5,222.1,23.2,Mid-Range,Poor,Tamil Nadu
Quantization,MobileNet,Education,91.4,88.6,70.9,25.8,162.3,117.7,32.5,Mid-Range,Poor,Assam
Knowledge Distillation,MobileNetV2,Healthcare,93.3,92.5,40.2,12.4,334.4,204.8,26.3,Mid-Range,Moderate,Bihar
Weight Sharing,ResNet18,Healthcare,89.1,88.2,44.9,30.3,204.7,112.9,28.9,Mid-Range,Good,Rajasthan
Pruning,ResNet50,Education,87.6,85.9,43.3,26.4,464.5,306.6,11.2,Mid-Range,Good,Chhattisgarh
Quantization,ResNet18,Education,85.1,83.6,37.6,24.4,565.1,422.1,37.3,Mid-Range,Good,Chhattisgarh
Knowledge Distillation,ResNet18,Agriculture,93.2,90.3,91.3,52.5,294.8,173.3,26,Low-End,Moderate,Madhya Pradesh
Weight Sharing,MobileNet,Healthcare,84.2,82,81.2,32.9,190.1,98.8,30.5,Low-End,Moderate,Andhra Pradesh
Pruning,ResNet18,Education,93.7,90.8,33.6,15.5,310.7,222.3,39,Mid-Range,Moderate,Uttar Pradesh
Quantization,MobileNet,Healthcare,87.7,85.2,92.1,34.3,167.1,124.2,35.1,Mid-Range,Good,Assam
Knowledge Distillation,EfficientNet,Healthcare,90.8,90,27.4,10.9,161.6,117.3,25.9,Low-End,Poor,Rajasthan
Weight Sharing,ResNet18,Healthcare,85.1,82.5,32.1,10.9,556,367.7,12.3,Low-End,Poor,Uttar Pradesh
Pruning,MobileNet,Education,90.1,87.6,18.4,10.2,477.9,306.6,26.6,Mid-Range,Poor,Chhattisgarh
Quantization,SqueezeNet,Education,93.6,92.4,96.3,33.2,365.8,227.3,16.8,Mid-Range,Moderate,Andhra Pradesh
Knowledge Distillation,EfficientNet,Agriculture,93.7,93.1,11,6,206.8,141.7,10.3,Low-End,Good,Bihar
Weight Sharing,MobileNet,Education,90.9,88.1,28.1,10.5,345.4,181.2,16.9,Low-End,Moderate,Tamil Nadu
Pruning,MobileNetV2,Education,91.7,89.2,92.2,63.4,364.5,197.7,19.7,Mid-Range,Poor,Manipur
Quantization,ResNet50,Healthcare,87.5,85.7,61.3,28.9,596.6,406.3,16.3,Low-End,Poor,Andhra Pradesh
Knowledge Distillation,MobileNet,Education,93.2,91.2,76.1,30.8,467.9,359.3,12.9,Mid-Range,Good,Odisha
Weight Sharing,SqueezeNet,Agriculture,93.7,92.5,59.7,25.8,590.2,453,23.5,Mid-Range,Good,Manipur
Pruning,ResNet50,Education,93.9,93.1,88.6,46.1,540.3,301.3,21.2,Low-End,Good,Rajasthan
Quantization,MobileNet,Healthcare,87.3,86.7,54.7,26.9,181.6,123.3,39.5,Mid-Range,Moderate,Uttar Pradesh
Knowledge Distillation,SqueezeNet,Education,88,86.4,96.5,51.7,259.9,182,21,Low-End,Moderate,Manipur
Weight Sharing,EfficientNet,Healthcare,89.7,89.1,17.9,8.1,473,344.3,39.5,Low-End,Moderate,Chhattisgarh
Pruning,EfficientNet,Education,87.5,86.1,92.4,50.7,211.1,121.8,17.9,Mid-Range,Poor,Chhattisgarh
Quantization,EfficientNet,Healthcare,92.4,90.1,74,42.3,552.2,348.7,40,Mid-Range,Good,Bihar
Knowledge Distillation,MobileNetV2,Agriculture,92.5,90.1,92.4,61.8,204.2,111.3,10.6,Mid-Range,Poor,Uttar Pradesh
Weight Sharing,ResNet50,Agriculture,91.6,89.5,13.8,6.2,323,237,37.7,Low-End,Moderate,Chhattisgarh
Pruning,MobileNetV2,Education,92.6,90.5,46.4,30.9,237.8,131.8,27.7,Mid-Range,Good,Manipur
Quantization,MobileNetV2,Education,89.5,87.6,90,55.8,357.3,190.4,16.3,Low-End,Good,Jharkhand
Knowledge Distillation,SqueezeNet,Agriculture,84.2,83.4,70.6,44.2,532.7,422.6,25.5,Mid-Range,Good,Odisha
Weight Sharing,ResNet50,Agriculture,92.6,92,75.8,51,383.5,211.9,34.2,Low-End,Poor,Manipur
Pruning,MobileNetV2,Agriculture,85.7,82.9,49.6,15.9,236.2,177.1,18.3,Mid-Range,Poor,Bihar
Quantization,SqueezeNet,Agriculture,86.4,84,78.3,50.8,299.7,180.8,23.5,Low-End,Poor,Rajasthan
Knowledge Distillation,EfficientNet,Agriculture,87.6,84.9,61.9,38.3,479.2,261.6,26.2,Mid-Range,Moderate,Andhra Pradesh
Weight Sharing,ResNet50,Education,89.5,88.1,89.1,61.8,236.5,133.5,32,Low-End,Poor,Andhra Pradesh
Pruning,ResNet50,Agriculture,91.6,89.2,43.6,13.4,509.5,366.1,13.3,Mid-Range,Good,Bihar
Quantization,SqueezeNet,Agriculture,83.1,80.4,59.3,35.3,531.8,368.4,19.8,Low-End,Moderate,Chhattisgarh
Knowledge Distillation,MobileNetV2,Healthcare,93.9,92.5,90.9,56.8,575.8,343.5,34.2,Mid-Range,Poor,Uttar Pradesh
Weight Sharing,MobileNetV2,Healthcare,86.4,83.8,15.3,10.6,323.5,239.2,18,Mid-Range,Good,Jharkhand
Pruning,SqueezeNet,Agriculture,86.4,84.2,6.2,2.1,492.8,304.8,38.6,Low-End,Moderate,Rajasthan
Quantization,SqueezeNet,Education,93,90.3,57.2,24,231.4,118.6,39.7,Mid-Range,Poor,Andhra Pradesh
Knowledge Distillation,MobileNet,Agriculture,84.1,82.8,33.1,20.4,179.4,91.3,23,Low-End,Poor,Madhya Pradesh
Weight Sharing,SqueezeNet,Agriculture,93.3,90.9,93.9,56.8,474.2,282.4,32.3,Mid-Range,Poor,Andhra Pradesh
Pruning,ResNet18,Healthcare,87,84.5,43.8,23.7,196.8,155.6,26.2,Low-End,Moderate,Rajasthan
Quantization,ResNet18,Healthcare,91.5,90.8,51.7,22,387.8,217.2,13.8,Low-End,Poor,Rajasthan
Knowledge Distillation,EfficientNet,Healthcare,84.3,82.7,60.5,38,315.8,246,13.3,Mid-Range,Poor,Jharkhand
Weight Sharing,ResNet50,Healthcare,87.3,84.8,37.9,14.4,536.7,419.6,22.8,Mid-Range,Good,Rajasthan
Pruning,MobileNet,Education,83.9,83.1,15.4,5.2,279.3,152.6,19.4,Low-End,Moderate,Chhattisgarh
Quantization,ResNet50,Education,83.2,81.5,52.9,27.6,266.7,213.2,17.7,Mid-Range,Good,Bihar
Knowledge Distillation,SqueezeNet,Agriculture,88.4,87.6,53.1,22.7,183.6,114.8,26.7,Mid-Range,Moderate,Odisha
Weight Sharing,EfficientNet,Education,90.6,88.6,35.7,14.3,488.4,290.9,25,Low-End,Poor,Chhattisgarh
Pruning,ResNet50,Agriculture,87,85.9,7.1,3.6,549.1,428.7,34.8,Mid-Range,Poor,Madhya Pradesh
Quantization,MobileNetV2,Healthcare,88,87.4,75.5,49.6,537,344.9,11.9,Mid-Range,Moderate,Odisha
